LaunchID,RingID,Temperature,Failure
1,1,53,1
1,2,53,1
1,3,53,1
1,4,53,0
1,5,53,0
2,1,57,1
2,2,57,0
2,3,57,0
2,4,57,0
2,5,57,0
3,1,58,1
3,2,58,0
3,3,58,0
3,4,58,0
3,5,58,0
4,1,63,1
4,2,63,0
4,3,63,0
4,4,63,0
4,5,63,0
5,1,66,0
5,2,66,0
5,3,66,0
5,4,66,0
5,5,66,0
6,1,67,0
6,2,67,0
6,3,67,0
6,4,67,0
6,5,67,0
7,1,67,0
7,2,67,0
7,3,67,0
7,4,67,0
7,5,67,0
8,1,67,0
8,2,67,0
8,3,67,0
8,4,67,0
8,5,67,0
9,1,68,0
9,2,68,0
9,3,68,0
9,4,68,0
9,5,68,0
10,1,69,0
10,2,69,0
10,3,69,0
10,4,69,0
10,5,69,0
11,1,70,1
11,2,70,0
11,3,70,0
11,4,70,0
11,5,70,0
12,1,70,1
12,2,70,0
12,3,70,0
12,4,70,0
12,5,70,0
13,1,70,0
13,2,70,0
13,3,70,0
13,4,70,0
13,5,70,0
14,1,70,0
14,2,70,0
14,3,70,0
14,4,70,0
14,5,70,0
15,1,72,0
15,2,72,0
15,3,72,0
15,4,72,0
15,5,72,0
16,1,73,0
16,2,73,0
16,3,73,0
16,4,73,0
16,5,73,0
17,1,75,1
17,2,75,1
17,3,75,0
17,4,75,0
17,5,75,0
18,1,75,0
18,2,75,0
18,3,75,0
18,4,75,0
18,5,75,0
19,1,76,0
19,2,76,0
19,3,76,0
19,4,76,0
19,5,76,0
20,1,76,0
20,2,76,0
20,3,76,0
20,4,76,0
20,5,76,0
21,1,78,0
21,2,78,0
21,3,78,0
21,4,78,0
21,5,78,0
22,1,79,0
22,2,79,0
22,3,79,0
22,4,79,0
22,5,79,0
23,1,80,0
23,2,80,0
23,3,80,0
23,4,80,0
23,5,80,0
24,1,81,0
24,2,81,0
24,3,81,0
24,4,81,0
24,5,81,0
